prompt,source url,query,published_time,modified_time,author
Name three actions that made you feel loved today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
Name three beautiful things that you heard today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
Name three experiences that made you feel brave today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
Name three things that you learned today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
Name three beautiful things that you saw today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
What am I looking forward to today?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
What might challenge me today?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
What will I do if I feel anxious/stressed/worried today?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
What positive things happened today?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
"What, if anything, went wrong today?",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
What will I do differently tomorrow?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
What am I grateful for today?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
