number,word,count
5,great,2
5,is,1
3,coping,1
1,strength,1
10,detailed,1
2,amazing,1
5,deep,2
3,examples,2
3,deep,2
5,good,3
24,months,1
3,main,4
10,ways,8
3,amazing,3
6,things,4
2,Timothy,2
2,healthy,1
3,reasons,5
5,occasions,1
1,being,4
7,things,11
3,details,1
9,times,1
7,people,1
7,amazing,1
7,experiences,1
7,foods,1
7,freedoms,1
3,techniques,1
3,times,3
10,and,1
10,my,1
1,that,1
10,good,3
2,ways,2
28,states,1
10,in,1
3,units,1
7,units,1
14,days,1
1,trauma,1
10,thoughts,4
10,affirmations,5
5,tools,3
5,basic,1
3,facilities,1
2020,what,1
2020,and,1
2021,free,1
3,priorities,16
5,coping,1
15,year,1
3,boundaries,1
3,areas,2
3,tasks,1
5,traits,5
30,min,1
10,to,1
19,pandemic,3
8,hours,1
5,negative,2
2,columns,2
5,and,1
5,entry,1
5,more,2
25,year,1
1,of,2
5,reasons,4
5,made,1
15,compliments,2
5,improvements,1
6,values,1
4,years,2
1,desire,1
3,actions,1
3,small,8
5,steps,2
3,affirmations,3
5,aspects,2
5,questions,1
5,Life,2
1,John,3
1,Corinthians,1
100,words,2
3,accomplishments,2
5,hobbies,2
3,foods,2
3,moments,3
3,compliments,2
10,skills,2
3,personality,2
5,to,2
10,people,2
3,great,4
3,traits,2
5,of,4
3,challenging,1
1,quality,1
3,character,1
5,unexpected,1
3,stereotypes,2
2,struggles,2
3,talents,3
3,friends,1
10,items,4
5,hours,1
1,Thessalonians,1
18,and,1
3,and,1
7,and,2
1,Chronicles,1
3,blessings,2
16,and,1
3,opportunities,1
3,slow,1
1,trip,1
20,places,1
48,hours,1
3,Things,4
5,instances,1
3,acts,1
10,qualities,3
10,major,1
100,things,1
5,simple,1
3,items,1
5,that,1
2025,Write,1
5,practical,1
5,affirmations,2
3,practical,1
3,self,4
3,bad,2
10,activities,2
8,values,1
5,intentional,1
90,and,1
60,years,1
2,short,1
2,long,1
10,lessons,1
3,changes,2
2,minutes,1
21,starting,1
7,most,1
7,days,1
1,or,1
2,recurring,1
18,months,1
2024,in,4
7,areas,1
3,smaller,1
5,bad,1
3,specific,4
10,tiny,1
5,characteristics,2
5,habits,2
5,other,1
8,years,1
5,victories,1
3,close,1
1,big,1
5,minute,2
3,feel,1
10,experiences,1
5,unique,1
3,daily,2
5,favourite,3
3,favourite,1
3,top,2
3,non,2
13,year,1
5,important,4
5,governing,1
10,year,2
20,year,1
5,lines,1
5,different,3
3,parts,1
5,flaws,1
3,Ways,1
6,affirmations,1
5,consequences,1
3,negative,2
3,personal,2
3,possible,1
3,life,1
3,challenges,1
3,imperfections,1
3,photos,1
5,small,2
1,goal,2
3,inner,1
3,obstacles,1
2,possible,1
3,questions,1
7,AM,1
10,obvious,1
3,days,1
1,word,1
3,dream,2
1,years,1
8,graduation,1
3,Strengths,1
10,short,1
20,long,1
5,little,2
1,most,1
3,lines,1
3,pieces,1
15,words,1
3,unhealthy,2
2,hours,1
10,sentences,2
3,limiting,1
3,fearless,1
3,little,1
2025,were,1
2025,with,1
85,years,1
1000,very,1
3,business,1
000,and,1
5,compliments,1
6,words,1
2,experiences,1
3,unique,2
3,crucial,1
3,relationship,1
3,essential,2
4,ways,1
20,words,1
2,words,1
21,days,1
3,big,3
3,more,1
3,steps,1
10,amazing,3
40,years,1
1,bad,1
1,memory,1
3,TOP,2
1,action,1
3,highlights,1
10,is,2
365,days,2
0,consequences,1
10,best,1
25,years,1
3,physical,1
3,short,1
3,objectives,2
90,days,2
10,Life,1
5,art,1
2,and,1
5,core,2
10,tasks,1
5,items,1
10,reasons,1
3,attainable,1
30,minutes,2
10,moments,1
10,acts,1
10,promises,1
2021,are,1
2023,self,1
3,achievements,1
5,highlights,1
2,sentences,1
2,quarters,1
10,accomplishments,1
12,year,1
2024,and,1
2025,and,2
5,childhood,1
10,simple,2
3,crowning,1
2024,self,1
180,this,1
2025,when,1
12,books,1
250,words,2
500,words,2
1500,characters,2
750,characters,5
200,characters,1
100,but,1
10,book,1
3,minutes,3
000,to,2
3,greatest,1
000,dollars,1
16,to,1
20,billion,1
70,or,1
3,places,1
5,animals,1
10,different,1
200,words,2
8,of,1
50,words,1
000,words,1
10,challenges,1
40,things,1
15,simple,1
11,or,1
333,or,1
1,full,1
5,amazing,1
10,frivolous,1
12,life,1
5,emotions,1
20,most,1
3,experiences,1
3,dreams,1
